Acts;Author;Directions;Lemmas;Lemmas, per direction;Title;Words;Words, per direction;Year;Directions, per act;Words, per act;Lemmas, per act;ADJ;ADVB;INTJ;NOUN;PREP;VERB
1;Гоголь, Николай Васильевич;27;603;7.111111111111112;Утро делового человека;1673;5.222222222222221;1836;27.0;1673.0;603.0;0.48148148148148145;0.2962962962962963;0.0;2.111111111111111;0.6666666666666666;0.8148148148148148
2;Гоголь, Николай Васильевич;254;2187;5.952755905511812;Женитьба;13094;3.9251968503937014;1842;127.0;6547.0;1093.5;0.24015748031496062;0.27165354330708663;0.011811023622047244;1.3267716535433072;0.515748031496063;0.7677165354330708
3;Горький, Максим;199;2362;7.165829145728643;Егор Булычов и другие;11092;5.155778894472363;1932;66.33333333333333;3697.333333333334;787.3333333333335;0.457286432160804;0.27638190954773867;0.0;1.8391959798994975;0.7386934673366834;1.0954773869346734
4;Горький, Максим;525;2739;6.36952380952381;На дне;16538;4.744761904761905;1902;131.25;4134.5;684.75;0.2780952380952381;0.41714285714285715;0.005714285714285714;1.6857142857142857;0.72;0.7923809523809524
4;Грибоедов, Александр Сергеевич;209;3443;5.8181818181818175;Горе от ума;14558;3.9138755980861246;1825;52.25;3639.5;860.75;0.3588516746411483;0.28708133971291866;0.004784688995215311;1.4497607655502391;0.6555023923444976;0.6698564593301436
1;Гумилёв, Николай Степанович;55;675;6.072727272727272;Актеон;1484;4.054545454545455;1913;55.0;1484.0;675.0;0.2909090909090909;0.5454545454545454;0.0;1.1090909090909091;0.5818181818181818;0.7818181818181819
1;Гумилёв, Николай Степанович;66;1304;5.090909090909091;Дитя Аллаха;3867;3.1060606060606064;1917;66.0;3867.0;1304.0;0.10606060606060606;0.0;0.0;1.4545454545454546;0.22727272727272727;0.9696969696969697
1;Гумилёв, Николай Степанович;42;654;4.738095238095238;Дон-Жуан в Египте;1501;2.9047619047619047;1911;42.0;1501.0;654.0;0.09523809523809523;0.30952380952380953;0.0;0.9523809523809523;0.4523809523809524;0.23809523809523808
4;Гумилёв, Николай Степанович;62;1715;6.354838709677418;Гондла;5934;4.209677419354839;1917;15.5;1483.5;428.75;0.3709677419354839;0.14516129032258066;0.11290322580645161;1.8064516129032258;0.5483870967741935;0.43548387096774194
2;Крылов, Иван Андреевич;141;1797;4.75886524822695;Американцы;8088;3.0992907801418434;1788;70.5;4044.0;898.5;0.19858156028368795;0.2198581560283688;0.0;1.4680851063829787;0.3404255319148936;0.2765957446808511
2;Крылов, Иван Андреевич;98;1642;4.295918367346939;Подщипа или Трумф;4966;2.571428571428572;1800;49.0;2483.0;821.0;0.22448979591836735;0.14285714285714285;0.0;0.8163265306122449;0.25510204081632654;0.5
3;Крылов, Иван Андреевич;88;1550;6.5227272727272725;Сонный порошок или похищенная крестьянка;7605;4.215909090909091;1800;29.33333333333333;2535.0;516.6666666666666;0.29545454545454547;0.23863636363636365;0.0;1.6477272727272727;0.4659090909090909;0.8181818181818182
3;Крылов, Иван Андреевич;130;1546;5.630769230769231;Сонный порошок или похищенная крестьянка;7676;3.5769230769230766;1800;43.33333333333334;2558.6666666666665;515.3333333333334;0.21705426356589147;0.20155038759689922;0.0;1.3875968992248062;0.4496124031007752;0.6356589147286822
1;Крылов, Иван Андреевич;146;1570;4.328767123287672;Урок дочкам;6858;2.636986301369863;1807;146.0;6858.0;1570.0;0.10273972602739725;0.273972602739726;0.0;1.0616438356164384;0.23972602739726026;0.3219178082191781
4;Лермонтов, Михаил Юрьевич;400;2524;5.2725;Маскарад;14587;3.4075;1842;100.0;3646.75;631.0;0.19;0.17;0.0;1.11;0.5025;0.7825
6;Ломоносов, Михаил Васильевич;54;1996;4.925925925925926;Демофонт;10627;2.851851851851852;1752;9.0;1771.166666666667;332.6666666666667;0.14814814814814814;0.037037037037037035;0.0;1.462962962962963;0.2962962962962963;0.2037037037037037
5;Ломоносов, Михаил Васильевич;53;2221;4.679245283018868;Тамира и Селим;10630;2.679245283018868;1750;10.6;2126.0;444.2;0.18867924528301888;0.018867924528301886;0.0;1.4339622641509433;0.22641509433962265;0.22641509433962265
6;Маяковский, Владимир Владимирович;119;2900;9.008403361344536;Баня;10942;6.857142857142858;1929;19.83333333333333;1823.666666666667;483.33333333333326;0.6638655462184874;0.3025210084033613;0.025210084033613446;3.0252100840336134;0.8571428571428571;1.050420168067227
4;Найдёнов, Сергей Александрович;471;2501;10.791932059447985;Дети Ванюшина;16369;9.273885350318473;1901;117.75;4092.25;625.25;0.8853503184713376;0.42038216560509556;0.010615711252653927;3.118895966029724;1.3588110403397027;1.7558386411889597
3;Островский, Александр Николаевич;371;2187;5.946091644204852;Бедность не порок;12766;4.1940700808625335;1854;123.66666666666669;4255.333333333333;729.0;0.18867924528301888;0.16981132075471697;0.0;1.6684636118598384;0.4393530997304582;1.0539083557951483
4;Островский, Александр Николаевич;403;2757;5.640198511166253;Бесприданница;18232;3.799007444168735;1878;100.75;4558.0;689.25;0.23573200992555832;0.1687344913151365;0.0024813895781637717;1.694789081885856;0.5260545905707196;0.6476426799007444
5;Островский, Александр Николаевич;297;2154;5.525252525252526;Гроза;15349;3.6262626262626254;1859;59.4;3069.8;430.8;0.21548821548821548;0.18855218855218855;0.003367003367003367;1.3569023569023568;0.48148148148148145;0.7205387205387206
5;Островский, Александр Николаевич;484;3079;5.462809917355372;Лес;22821;3.731404958677686;1871;96.8;4564.2;615.8;0.3243801652892562;0.22727272727272727;0.006198347107438017;1.3429752066115703;0.4462809917355372;0.743801652892562
5;Островский, Александр Николаевич;232;3378;8.831896551724139;Снегурочка;14900;7.021551724137932;1873;46.4;2980.0;675.6;0.5818965517241379;0.21551724137931033;0.004310344827586207;3.189655172413793;1.0301724137931034;1.1767241379310345
4;Островский, Александр Николаевич;234;2749;4.970085470085469;Свои люди – сочтемся;17989;3.209401709401709;1850;58.5;4497.25;687.25;0.23931623931623933;0.08547008547008547;0.008547008547008548;1.106837606837607;0.36324786324786323;0.8333333333333334
5;Островский, Александр Николаевич;438;3087;5.593607305936073;Волки и овцы;23553;3.8881278538812793;1875;87.6;4710.6;617.4;0.3904109589041096;0.136986301369863;0.0;1.6963470319634704;0.5251141552511416;0.6461187214611872
5;Озеров, Владислав Александрович;105;2356;6.942857142857143;Димитрий Донской;12845;4.809523809523808;1807;21.0;2569.0;471.2;0.6095238095238096;0.08571428571428572;0.0;1.9428571428571428;0.7142857142857143;0.5523809523809524
4;Писемский, Алексей Феофилактович;345;2702;6.040579710144928;Горькая судьбина;16002;4.220289855072464;1859;86.25;4000.5;675.5;0.2753623188405797;0.19130434782608696;0.0;1.489855072463768;0.6318840579710145;0.5391304347826087
